,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
1,Center console boat,Terhi power boats,new boat from stock,2020,4,1.5,Thermoplastic,75,3490,Germany , BÃ¶nningstedt,new boat from stock,Unleaded,Low-priced
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,3399,Germany , Bayern ,new boat from stock,Unleaded,Low-priced
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,3570,Switzerland , Seengen,Used boat,Electric,Low-priced
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2,GRP,69,3500,Italy , Lake Garda ,Used boat,Unleaded,Low-priced
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,4692,Switzerland , Zugersee ,new boat from stock,Unleaded,Low-priced
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,4590,Switzerland , VierwaldstÃ¤ttersee ,Used boat,Unleaded,Low-priced
18,Pilothouse,Bnteau power boats,"Used boat,Diesel",1981,8,2.84,PVC,265,4000,France ," MARTGUES, MARTIGUES",Used boat,Diesel,Low-priced
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,3999,Germany , Bayern ,new boat from stock,Unleaded,Low-priced
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,3930,Germany , Nordrhein-Westfalen ,new boat from stock,Unleaded,Low-priced
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,3900,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",Used boat,Unleaded,Low-priced
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,4284,Switzerland , Diessenhofen,Used boat,Unleaded,Low-priced
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,4110.6,Switzerland , VierwaldstÃ¤ttersee ,new boat from stock,Unleaded,Low-priced
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,4054.5,Switzerland , Horgen,new boat from stock,Unleaded,Low-priced
30,Sport Boat,Mndli power boats,Used boat,1996,4.84,1.58,GRP,202,4029,Switzerland , Lake of Zurich ,Used boat,Unleaded,Low-priced
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,3876,Switzerland , Luganersee ,Used boat,Unleaded,Low-priced
35,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,3876,Switzerland , Walensee ,Used boat,Unleaded,Low-priced
36,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,3876,Switzerland , Sihlsee ,Used boat,Unleaded,Low-priced
38,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,3500,Germany , Verkaufshafen Brandenburg-Plaue,Used boat,Unleaded,Low-priced
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,186,5500,Germany , Berlin ,new boat from stock,Unleaded,Low-priced
44,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,118,5500,Spain ," Cabo de Palos, Espagne",Used boat,Unleaded,Low-priced
45,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,74,5500,Italy , emilia,Used boat,Unleaded,Low-priced
46,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,543,6018,Switzerland , Faoug ,Used boat,Unleaded,Low-priced
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,67,5399,Germany , Bayern ,new boat from stock,Unleaded,Low-priced
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,141,5200,Germany , Erftstadt,new boat from stock,Unleaded,Low-priced
54,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,278,5610,Switzerland , Neuenburgersee ,Used boat,Unleaded,Low-priced
55,Runabout,Kimple power boats,new boat from stock,2020,4,1.65,Aluminium,99,5610,Switzerland , Zugersee ,new boat from stock,Unleaded,Low-priced
57,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,7344,Switzerland , Lake of Zurich ,Used boat,Unleaded,Low-priced
59,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,277,6590,Germany , Nordrhein-Westfalen ,Used boat,Unleaded,Low-priced
60,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,85,6500,Italy , Venezia,Used boat,Diesel,Low-priced
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,122,6500,Germany , Berlin ,new boat from stock,Unleaded,Low-priced
62,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5,2.15,GRP,183,6500,Italy ,41100,Used boat,Unleaded,Low-priced
63,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8,2.1,GRP,289,6500,Germany , Berlin ,Used boat,Unleaded,Low-priced
64,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,324,6500,Austria , Werfenweng,Used boat,Unleaded,Low-priced
66,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,126,6490,Germany , Verkaufshafen Brandenburg-Plaue,Used boat,Unleaded,Low-priced
67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,238,7140,Switzerland , Murtensee ,Used boat,Unleaded,Low-priced
68,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,866,7140,Switzerland , Lake Geneva ,Used boat,Unleaded,Low-priced
69,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,574,7140,Switzerland , Neuenburgersee ,Used boat,Unleaded,Low-priced
71,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,205,8466,Switzerland , Lake Constance ,Used boat,Unleaded,Low-priced
74,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,200,7640,Germany , BUDENHEIM/RHEIN,Used boat,Unleaded,Low-priced
75,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,462,8318.1,Switzerland , Horgen,new boat from stock,Unleaded,Low-priced
76,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,201,7500,Germany , Landshut,Used boat,Unleaded,Low-priced
79,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,137,7500,Austria,Unknown,Used boat,Unleaded,Low-priced
80,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,208,7500,France ," Saint-Quay-Portrieux, France",Used boat,Unleaded,Low-priced
